Date,AR#,Location,Lgnl,Tflux,Ediss,Fidx,Level
17/01/2005,10721,S04E03,0.0000,0.0083,0.0073,0.01,0
23/01/2005,10726,N01W00,0.0000,0.0731,0.0588,0.01,0
02/02/2005,10729,S10W09,0.0000,0.0400,0.0366,1.63,0
08/02/2005,10731,S02W01,0.0000,0.0084,0.0086,0.01,0
02/03/2005,10739,S03W03,0.0000,0.0194,0.0162,0.84,0
15/03/2005,10743,S08W03,0.0124,0.1351,0.0858,14.58,0
02/04/2005,10747,S06W04,0.0000,0.0463,0.0559,6.84,0
08/04/2005,10749,S05E11,0.0000,0.0701,0.0582,0.01,0
11/04/2005,10750,S07E08,0.0099,0.1186,0.0981,1.25,0
08/05/2005,10758,S07E08,0.0496,0.2283,0.2223,140.88,0
04/06/2005,10769,S06E01,0.0074,0.1730,0.1312,0.80,0
10/06/2005,10775,N10E06,0.1191,0.1760,0.1482,65.48,0
04/08/2005,10796,S07W01,0.0000,0.0289,0.0196,0.17,0
18/08/2005,10798,S09E08,0.0000,0.0282,0.0223,120.27,0
07/10/2005,10813,S08E01,0.0199,0.0835,0.0840,1.40,0
20/10/2005,10815,N08E07,0.0000,0.0435,0.0257,0.01,0
02/11/2005,10819,S09W05,0.0000,0.0474,0.0290,1.71,0
03/11/2005,10818,S08W04,0.0000,0.0327,0.0183,0.20,0
26/11/2005,10825,S06E01,0.0000,0.0142,0.0085,0.01,0
15/12/2005,10834,S07W01,0.0000,0.1122,0.0755,2.76,0
29/12/2005,10840,S03E02,0.0000,0.0884,0.0594,0.01,0
13/01/1998,8131,S24W12,0.0769,0.1266,0.1214,36.44,0
11/08/1999,8662,S16E08,0.0968,0.2405,0.2228,35.64,0
19/02/2001,9354,S09W07,0.0422,0.1282,0.0933,12.49,0
10/07/2001,9531,S06E05,0.0471,0.1121,0.0821,13.40,0
18/07/2001,9545,N09E03,0.0223,0.0478,0.0279,11.26,0
20/07/2001,9542,N08E07,0.0000,0.0475,0.0230,0.49,0
31/07/2001,9557,S21E25,0.0124,0.1373,0.0890,135.02,0
08/05/2002,9937,S09E13,0.0471,0.1247,0.1082,37.63,0
13/06/2002,9991,S20E05,0.0074,0.1465,0.0993,5.44,0
18/06/2002,10000,N18E15,0.0124,0.1738,0.1351,341.48,0
04/12/2002,10208,N09E03,0.0819,0.1946,0.1800,27.48,0
05/03/2003,10296,N12E05,0.0372,0.3851,0.2814,13.12,0
12/03/2003,10306,N05E06,0.0273,0.2603,0.1603,8.25,0
15/04/2003,10334,S08E12,0.0000,0.0913,0.0685,0.55,0
17/05/2003,10357,S17E07,0.0174,0.0488,0.0466,0.85,0
25/05/2003,10365,S09E21,0.0223,0.0944,0.0984,599.27,0
20/06/2003,10388,S03E04,0.0000,0.0750,0.0818,10.67,0
09/09/2003,10456,S09E10,0.0074,0.0529,0.0531,15.26,0
06/10/2003,10471,S08E07,0.0819,0.3249,0.2594,48.83,0
12/01/2004,10537,N04W04,0.0571,0.1377,0.1168,271.55,0
24/02/2004,10564,N14E00,0.1042,0.2240,0.2290,238.04,0
18/05/2004,10617,S12E08,0.0000,0.0463,0.0497,3.24,0
25/05/2004,10618,S10E12,0.0868,0.3088,0.2463,107.47,0
03/06/2004,10621,S14E13,0.0422,0.1887,0.1292,6.35,0
06/06/2004,10624,S08E10,0.0000,0.0580,0.0364,0.34,0
04/08/2004,10655,S09E14,0.0769,0.1621,0.1467,10.98,0
02/10/2004,10675,S10W06,0.0000,0.0936,0.0691,0.65,0
23/10/2004,10684,S03W00,0.0223,0.1015,0.1165,0.61,0
25/11/2004,10704,N13W18,0.0223,0.1665,0.1266,2.12,0
01/12/2004,10706,S08W16,0.0000,0.1223,0.1067,27.57,0
15/02/2005,10735,S08E07,0.0521,0.2187,0.1534,13.93,0
12/03/2005,10742,S05E03,0.0571,0.2221,0.1992,25.79,0
18/04/2005,10754,S08E06,0.0124,0.0364,0.0366,0.40,0
07/05/2005,10758,S09E26,0.1241,0.2345,0.2066,140.88,0
11/06/2005,10776,S06E04,0.0620,0.2106,0.1730,37.30,0
26/07/2005,10791,N14E23,0.0571,0.0901,0.0918,7.81,0
15/08/2005,10797,S13E12,0.0298,0.1160,0.1016,0.89,0
02/11/2005,10818,S08E09,0.0000,0.0466,0.0323,0.20,0
